Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_Administration_Charge_Unit,Block_TV_Aerial,Block_TV_Aerial_Unit,Block_Repairs,Block_Repairs_Unit,Block_Estate_Lighting,Block_Estate_Lighting_Unit,Block_Security_Services,Block_Security_Services_Unit,Block_Lift_Maintenance,Block_Lift_Maintenance_Unit,Block_Heating_And_Hotwater,Block_Heating_And_Hotwater_Unit,Block_Ground_Rent,Block_Ground_Rent_Unit,Block_Building_Insurance,Block_Building_Insurance_Unit,Block_Door_Entry,Block_Door_Entry_Unit,Block_Care_And_Upkeep,Block_Care_And_Upkeep_Unit,Estate_Care_And_Upkeep,Estate_Care_And_Upkeep_Unit,Estate_Grounds_Maintenance,Estate_Grounds_Maintenance_Unit,Estate_Lighting,Estate_Lighting_Unit,Estate_Repairs_And_Maintenance,Estate_Repairs_And_Maintenance_Unit
2022,2023,"SWKE0109","SWKB1089","1026.04","14.66","0.00","0.00","873.04","12.47","879.92","12.57","0.00","0.00","3993.80","57.05","0.00","0.00","40.00","0.57","1688.92","24.13","134.56","1.92","1699.72","24.28","28993.09","7.77","13027.12","3.49","5731.74","1.54","8768.26","2.35"
2022,2023,"SWKE0112","SWKB1090","112.83","4.70","0.00","0.00","198.51","8.27","109.15","4.55","0.00","0.00","0.00","0.00","0.00","0.00","10.00","0.42","339.82","14.16","0.00","0.00","298.16","12.42","37372.02","7.97","29578.18","6.31","5048.69","1.08","2283.47","0.49"
2022,2023,"SWKE0156","SWKB1091","1428.67","5.65","0.00","0.00","1396.29","5.52","1252.23","4.95","0.00","0.00","0.00","0.00","0.00","0.00","100.00","0.40","4091.92","16.17","382.22","1.51","3762.98","14.87","18101.96","8.44","6570.48","3.06","4272.51","1.99","2078.74","0.97"
2022,2023,"SWKE0301","SWKB1092","1538.22","10.12","0.00","0.00","2324.80","15.29","225.98","1.49","0.00","0.00","0.00","0.00","8041.75","52.91","50.00","0.33","1712.87","11.27","0.00","0.00","1605.04","10.56","12966.55","7.53","3369.10","1.96","918.19","0.53","635.55","0.37"
2022,2023,"SWKE0220","SWKB1093","1272.04","14.29","0.00","0.00","2117.67","23.79","612.83","6.89","0.00","0.00","0.00","0.00","0.00","0.00","90.00","1.01","3749.58","42.13","0.00","0.00","3039.78","34.15","9538.91","6.28","11292.23","7.43","2533.64","1.67","3053.70","2.01"
2022,2023,"SWKE0210","SWKB1094","1014.16","12.22","0.00","0.00","705.16","8.50","191.72","2.31","0.00","0.00","0.00","0.00","5969.20","71.92","40.00","0.48","1378.56","16.61","0.00","0.00","1109.64","13.37","18399.95","6.76","6510.11","2.39","3421.44","1.26","2839.76","1.04"
2022,2023,"SWKE0210","SWKB1095","3143.67","16.72","0.00","0.00","2002.77","10.65","340.30","1.81","0.00","0.00","0.00","0.00","18734.02","99.65","130.00","0.69","4790.68","25.48","0.00","0.00","2853.32","15.18","18399.95","6.76","6510.11","2.39","3421.44","1.26","2839.76","1.04"
2022,2023,"SWKE0210","SWKB1096","1062.48","8.57","0.00","0.00","1156.20","9.32","210.80","1.70","0.00","0.00","0.00","0.00","6012.96","48.49","40.00","0.32","1378.56","11.12","0.00","0.00","1079.28","8.70","18399.95","6.76","6510.11","2.39","3421.44","1.26","2839.76","1.04"
2022,2023,"SWKE0294","SWKB1097","947.36","5.26","0.00","0.00","870.80","4.84","427.76","2.38","0.00","0.00","2053.04","11.41","0.00","0.00","80.00","0.44","2711.92","15.07","261.60","1.45","1026.64","5.70","12977.53","4.98","8001.88","3.07","1704.80","0.65","639.15","0.25"
2022,2023,"SWKE0329","SWKB1098","222.96","4.95","0.00","0.00","547.84","12.17","211.26","4.69","0.00","0.00","0.00","0.00","0.00","0.00","20.00","0.44","689.28","15.32","0.00","0.00","359.10","7.98","67056.41","7.86","57695.83","6.77","7120.45","0.84","2827.45","0.33"
2022,2023,"SWKE0329","SWKB1099","781.94","7.38","0.00","0.00","612.83","5.78","722.83","6.82","0.00","0.00","0.00","0.00","0.00","0.00","80.00","0.75","2906.65","27.42","193.39","1.82","1568.83","14.80","67056.41","7.86","57695.83","6.77","7120.45","0.84","2827.45","0.33"
2022,2023,"SWKE0002","SWKB1100","264.21","8.01","0.00","0.00","162.71","4.93","7.89","0.24","0.00","0.00","0.00","0.00","996.51","30.20","10.00","0.30","339.82","10.30","0.00","0.00","922.66","27.96","3727.56","2.35","1029.04","0.65","898.67","0.57","507.13","0.32"
2022,2023,"SWKE0002","SWKB1101","278.04","2.11","0.00","0.00","113.27","0.86","0.00","0.00","0.00","0.00","0.00","0.00","1852.34","14.03","10.00","0.08","343.32","2.60","0.00","0.00","99.60","0.75","3727.56","2.35","1029.04","0.65","898.67","0.57","507.13","0.32"
2022,2023,"SWKE0002","SWKB1102","1672.71","16.24","0.00","0.00","896.09","8.70","579.60","5.63","0.00","0.00","0.00","0.00","9618.08","93.38","60.00","0.58","2129.42","20.67","0.00","0.00","1803.84","17.51","3727.56","2.35","1029.04","0.65","898.67","0.57","507.13","0.32"
2022,2023,"SWKE0224","SWKB1103","150.32","5.37","0.00","0.00","0.00","0.00","257.20","9.19","0.00","0.00","0.00","0.00","0.00","0.00","10.00","0.36","344.64","12.31","15.18","0.54","461.89","16.50","8921.77","22.76","3712.07","9.47","539.74","1.38","129.50","0.33"
2022,2023,"SWKE0224","SWKB1104","829.76","15.96","0.00","0.00","1560.38","30.01","945.44","18.18","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.77","1531.10","29.44","114.48","2.20","1939.94","37.31","8921.77","22.76","3712.07","9.47","539.74","1.38","129.50","0.33"
2022,2023,"SWKE0224","SWKB1105","552.72","10.63","0.00","0.00","452.85","8.71","695.46","13.37","0.00","0.00","0.00","0.00","0.00","0.00","30.00","0.58","1029.96","19.81","0.00","0.00","1566.87","30.13","8921.77","22.76","3712.07","9.47","539.74","1.38","129.50","0.33"
2022,2023,"SWKE0120","SWKB1106","1912.61","6.83","0.00","0.00","4361.21","15.58","3154.48","11.27","0.00","0.00","0.00","0.00","0.00","0.00","720.00","2.57","5220.93","18.65","0.00","0.00","4415.95","15.77","14622.22","2.98","9062.23","1.85","5281.87","1.08","1329.84","0.27"
2022,2023,"SWKE0234","SWKB1107","852.45","16.71","0.00","0.00","0.00","0.00","612.00","12.00","0.00","0.00","0.00","0.00","0.00","0.00","60.00","1.18","2144.78","42.05","130.80","2.56","2451.43","48.07","4678.18","14.90","5294.17","16.86","1574.49","5.01","0.00","0.00"
2022,2023,"SWKE0234","SWKB1108","502.88","9.86","0.00","0.00","839.88","16.47","420.74","8.25","0.00","0.00","0.00","0.00","0.00","0.00","30.00","0.59","1031.28","20.22","59.45","1.17","1164.43","22.83","4678.18","14.90","5294.17","16.86","1574.49","5.01","0.00","0.00"
2022,2023,"SWKE0234","SWKB1109","767.68","15.05","0.00","0.00","399.92","7.84","463.92","9.10","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.78","1879.05","36.84","142.70","2.80","2083.71","40.86","4678.18","14.90","5294.17","16.86","1574.49","5.01","0.00","0.00"
2022,2023,"SWKE0234","SWKB1110","426.88","8.54","0.00","0.00","1325.74","26.51","119.64","2.39","0.00","0.00","0.00","0.00","0.00","0.00","20.00","0.40","691.27","13.83","0.00","0.00","937.67","18.75","4678.18","14.90","5294.17","16.86","1574.49","5.01","0.00","0.00"
2022,2023,"SWKE0234","SWKB1111","964.98","8.69","0.00","0.00","2186.16","19.70","439.19","3.96","0.00","0.00","0.00","0.00","0.00","0.00","60.00","0.54","2297.97","20.70","199.13","1.79","1580.72","14.24","4678.18","14.90","5294.17","16.86","1574.49","5.01","0.00","0.00"
2022,2023,"SWKE0201","SWKB1112","989.17","7.27","0.00","0.00","1105.09","8.13","318.50","2.34","0.00","0.00","1341.23","9.86","0.00","0.00","70.00","0.51","2805.85","20.63","167.38","1.23","2218.51","16.31","36636.71","8.79","15477.74","3.71","7328.70","1.76","4457.84","1.07"
2022,2023,"SWKE0292","SWKB1113","102.62","1.55","0.00","0.00","134.99","2.05","50.99","0.77","0.00","0.00","0.00","0.00","0.00","0.00","10.00","0.15","344.64","5.22","0.00","0.00","377.86","5.73","224.55","1.87","0.00","0.00","10.96","0.09","0.00","0.00"
2022,2023,"SWKE0112","SWKB1114","781.24","6.51","0.00","0.00","374.90","3.12","733.83","6.12","0.00","0.00","1139.14","9.49","0.00","0.00","50.00","0.42","1906.66","15.89","120.70","1.01","2206.13","18.38","37372.02","7.97","29578.18","6.31","5048.69","1.08","2283.47","0.49"
