Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_TV_Aerial,Block_Repairs,Block_Estate_Lighting,Block_Security_Services,Block_Lift_Maintenance,Block_Heating_And_Hotwater,Block_Ground_Rent,Block_Building_Insurance,Block_Door_Entry,Block_Care_And_Upkeep,Estate_Care_And_Upkeep,Estate_Grounds_Maintenance,Estate_Lighting,Estate_Repairs_And_Maintenance
2022,2023,"SWKE0145","SWKB0594","2026.53","0.00","7362.60","1406.12","0.00","2269.00","0.00","100.00","4011.21","311.77","2986.32","28851.81","12285.67","6990.17","3304.06"
2022,2023,"SWKE0112","SWKB0595","1171.20","0.00","1066.95","616.53","0.00","0.00","0.00","110.00","4084.83","0.00","2792.79","37372.02","29578.18","5048.69","2283.47"
2022,2023,"SWKE0021","SWKB0596","2674.61","0.00","8449.21","654.01","0.00","0.00","11677.31","70.00","2487.08","0.00","2031.17","11477.97","6872.37","2775.59","5106.47"
2022,2023,"SWKE0148","SWKB0597","1145.85","0.00","1200.02","1535.15","0.00","929.64","0.00","100.00","3361.11","412.14","2252.31","2543.66","3732.20","801.83","396.97"
2022,2023,"SWKE0120","SWKB0598","432.18","0.00","1141.77","464.10","0.00","0.00","0.00","30.00","1266.69","0.00","1036.26","14622.22","9062.23","5281.87","1329.84"
2022,2023,"SWKE0208","SWKB0599","1447.66","0.00","1543.86","1128.64","0.00","0.00","0.00","160.00","5260.47","0.00","4345.11","2403.71","5063.13","2800.57","1360.06"
2022,2023,"SWKE0026","SWKB0600","9527.19","0.00","6618.50","11194.29","0.00","12476.47","43685.02","270.00","9434.52","0.00","6894.99","6995.63","3868.29","1062.43","729.71"
2022,2023,"SWKE0135","SWKB0601","196.72","0.00","110.96","168.46","0.00","0.00","0.00","20.00","855.30","0.00","390.26","402.36","0.00","39.80","0.00"
2022,2023,"SWKE0134","SWKB0602","677.03","0.00","785.24","169.59","0.00","0.00","0.00","50.00","2038.98","1399.83","598.69","1077.74","284.40","208.96","206.80"
2022,2023,"SWKE0200","SWKB0603","845.05","0.00","1124.83","771.70","0.00","0.00","0.00","70.00","2485.39","0.00","1064.43","2990.18","2930.44","628.00","279.44"
2022,2023,"SWKE0145","SWKB0604","1069.62","0.00","4498.98","917.62","0.00","0.00","0.00","60.00","2378.20","38.70","1793.34","28851.81","12285.67","6990.17","3304.06"
2022,2023,"SWKE0329","SWKB0605","1993.03","0.00","5584.54","557.18","0.00","2053.35","0.00","120.00","4480.32","425.10","4086.81","67056.41","57695.83","7120.45","2827.45"
2022,2023,"SWKE0087","SWKB0606","759.49","0.00","1515.21","307.46","0.00","0.00","0.00","70.00","2432.34","0.00","1796.50","9590.04","5415.19","1480.71","1213.61"
2022,2023,"SWKE0137","SWKB0607","0.00","0.00","528.69","2634.39","0.00","0.00","10603.47","90.00","3067.86","309.48","3399.21","0.00","276.84","211.41","0.00"
2022,2023,"SWKE0218","SWKB0608","369.38","0.00","1531.16","218.12","0.00","0.00","0.00","20.00","686.64","0.00","595.44","19320.99","3914.18","2309.77","420.49"
2022,2023,"SWKE0156","SWKB0609","3247.57","0.00","5521.75","2980.92","0.00","0.00","0.00","240.00","9662.34","0.00","6128.34","18101.96","6570.48","4272.51","2078.74"
2022,2023,"SWKE0138","SWKB0610","84.71","0.00","80.68","0.00","0.00","0.00","0.00","10.00","422.23","0.00","0.00","301.83","0.00","42.40","0.00"
2022,2023,"SWKE0115","SWKB0611","435.22","0.00","160.42","0.00","0.00","0.00","3104.76","20.00","689.28","0.00","43.96","414.48","342.60","127.50","0.00"
2022,2023,"SWKE0113","SWKB0612","1073.26","0.00","367.36","815.92","0.00","0.00","0.00","100.00","3839.77","320.48","3518.68","9091.91","5982.86","2399.88","1941.64"
2022,2023,"SWKE0198","SWKB0613","501.46","0.00","2043.51","174.60","0.00","0.00","0.00","40.00","1469.13","0.00","669.86","10806.74","4473.97","1968.42","1238.25"
2022,2023,"SWKE0218","SWKB0614","1508.54","0.00","3869.50","1404.92","0.00","2752.55","0.00","70.00","2966.45","0.00","2016.96","19320.99","3914.18","2309.77","420.49"
2022,2023,"SWKE0210","SWKB0615","6899.63","0.00","9939.60","3222.12","0.00","0.00","35232.87","250.00","9159.13","0.00","6248.06","18399.95","6510.11","3421.44","2839.76"
2022,2023,"SWKE0120","SWKB0616","3337.79","0.00","6679.47","4530.28","0.00","0.00","0.00","1580.00","9791.16","145.15","8708.34","14622.22","9062.23","5281.87","1329.84"
2022,2023,"SWKE0139","SWKB0617","287.82","0.00","373.62","349.56","0.00","0.00","0.00","30.00","1033.92","98.10","657.42","443.27","0.00","208.49","0.00"
2022,2023,"SWKE0139","SWKB0618","184.91","0.00","60.79","51.70","0.00","0.00","0.00","70.00","1032.60","0.00","417.69","443.27","0.00","208.49","0.00"
2022,2023,"SWKE0140","SWKB0619","803.92","0.00","1718.56","270.36","0.00","0.00","0.00","40.00","1710.60","51.17","1479.40","1369.00","1380.12","59.92","0.00"
2022,2023,"SWKE0120","SWKB0620","384.84","0.00","583.05","486.62","0.00","0.00","0.00","30.00","1272.11","0.00","1070.55","14622.22","9062.23","5281.87","1329.84"
2022,2023,"SWKE0269","SWKB0621","1172.15","0.00","5956.80","353.10","0.00","0.00","0.00","50.00","2111.15","163.55","1526.75","9084.30","2336.64","559.69","311.44"
2022,2023,"SWKE0269","SWKB0622","561.03","0.00","265.84","379.46","0.00","0.00","3278.88","20.00","689.28","8.17","451.88","9084.30","2336.64","559.69","311.44"
