ID,Estate_Name,Estate_RV
"SWKE0284","Redman House",582
"SWKE0285","Renforth Street",166
"SWKE0286","Rennie Estate",1767
"SWKE0287","Risdon House",95
"SWKE0288","Rockingham Estate",6075
"SWKE0289","Rockingham Street 056-108(E)",162
"SWKE0290","Rodney Estate",1191
"SWKE0291","Rouel Road Estate",4515
"SWKE0292","Rushworth Street Estate",120
"SWKE0293","Russell Court",223
"SWKE0294","Rye Hill Estate",2605
"SWKE0295","Salisbury Estate",1290
"SWKE0296","Sassoon House",109
"SWKE0297","Sceaux Gardens",2609
"SWKE0298","Scovell Estate",642
"SWKE0299","Setchell Estate",1695
"SWKE0300","Sharsted Street 024-026(E)",72
"SWKE0301","Silverlock Estate",1721
"SWKE0302","Silwood Estate",733
"SWKE0303","Slippers Place Estate",1545
"SWKE0304","Smeaton Court",281
"SWKE0305","Solomons Passage",240
"SWKE0306","Southampton Way 243",42
"SWKE0307","Southampton Way Estate",1932
"SWKE0308","Southwark Park Estate",407
"SWKE0309","Springhill Close",82
"SWKE0310","St Crispins Estate",565
"SWKE0311","St Davids Mansions",48
"SWKE0312","St Johns Estate",507
"SWKE0313","St Marys Estate",222
"SWKE0314","St Marys Road 019-035(O), 019A-035A(O)",108
"SWKE0315","St Olaves Estate",360
"SWKE0316","St Saviours Estate",3256
"SWKE0317","Stuart Road 031-041(O)",34
"SWKE0318","Styles House",276
"SWKE0319","Summer Road",72
"SWKE0320","Sumner Road 198",42
"SWKE0321","Sumner Road 236",30
"SWKE0322","Sumner Road 258",45
"SWKE0323","Sunray Estate East",543
"SWKE0324","Sunray Estate West",1481
"SWKE0325","Surrey Square 028-030(E)",48
"SWKE0326","Swan Mead",251
"SWKE0327","Swan Road Estate",792
"SWKE0328","Sydenham Hill Estate",1425
"SWKE0329","Tabard Gardens Estate",8527
"SWKE0330","Tadworth House",164
"SWKE0331","Tappesfield Estate",576
"SWKE0332","The Birches And The Limes",70
"SWKE0333","Therapia Road 018-022(E)",52
"SWKE0334","Thorburn Square",545
"SWKE0335","Tisdall Place 017-019(O)",10
"SWKE0336","Tissington Court",767
"SWKE0337","Tower Bridge Buildings",167
"SWKE0338","Tower Mill Road 083",36
"SWKE0339","Townsend House",217
"SWKE0340","Tustin Estate",3166
"SWKE0341","Two Towers-Casby House",475
"SWKE0342","Two Towers-Lupin Point",473
"SWKE0343","Unwin Estate",913
"SWKE0344","Vauban Estate",634
"SWKE0345","Webber Row Estate",727
"SWKE0346","Westfield House",122
"SWKE0347","Whistler Mews",110
"SWKE0348","Whorlton Road 015-025(O)",36
"SWKE0349","Willowbrook Estate",1204
"SWKE0350","Wilson Road 026",35
"SWKE0351","Woodland Road Estate",317
"SWKE0352","Wyndham Estate",2831
