ID,Block_Name,Block_RV,Estate_ID
"SWKB0224","Brownlow House, George Row 1-20(C)",115,"SWKE0112"
"SWKB0225","Brunel Road 1-23(O)",74,"SWKE0049"
"SWKB0226","Brunlees House, Bath Terrace 7A & 16A, 1-23(C)",154,"SWKE0288"
"SWKB0227","Brydale House, Rotherhithe New Road 1-96(C)",545,"SWKE0177"
"SWKB0228","Buchan Road 120-122(E) ; Kimberley Avenue 136",16,"SWKE0027"
"SWKB0229","Buchanan House, Lyall Avenue 1-32(C)",200,"SWKE0201"
"SWKB0230","Buckters Rents 5-27(O)",60,"SWKE0115"
"SWKB0231","Budleigh House, Friary Road 1-24(C)",170,"SWKE0217"
"SWKB0232","Bunbury House, Fenham Road 1-27(C)",182,"SWKE0259"
"SWKB0233","Burchell Road 2-42(E)",121,"SWKE0092"
"SWKB0234","Burgess House, Bethwin Road 1-20(C)",115,"SWKE0352"
"SWKB0235","Burns House, Doddington Grove 61A & 61B, 40-65(C)",168,"SWKE0113"
"SWKB0236","Burton House, Cherry Garden St 1-24(C)",144,"SWKE0050"
"SWKB0237","Byron Court, Lordship Lane 1-28(C)",192,"SWKE0220"
"SWKB0238","Cadbury Way 115-149(O)",85,"SWKE0291"
"SWKB0239","Cadbury Way 1-41(O)",102,"SWKE0291"
"SWKB0240","Cadbury Way 2-108(E)",263,"SWKE0291"
"SWKB0241","Cadbury Way 43-77(O)",85,"SWKE0291"
"SWKB0242","Cadbury Way 79-113(O)",85,"SWKE0291"
"SWKB0243","Calgary Court, Neptune Street 1-18(C)",129,"SWKE0056"
"SWKB0244","Calverton, Albany Road 1-31(C)",208,"SWKE0021"
"SWKB0245","Calypso Crescen 6-8(E) ; Calypso Crescent 10 / Flats 1-9(C) ; Calypso Crescent 12",60,"SWKE0051"
"SWKB0246","Calypso Crescent 4; Chandler Way 105; Chandler Way 107 / Flats 1-9(C) ; Chandler Way 109",60,"SWKE0052"
"SWKB0247","Cam Court 1-36(C)",236,"SWKE0157"
"SWKB0248","Camberwell Grove 100-138(E), 138A & 138B",147,"SWKE0055"
"SWKB0249","Camberwell Grove 125-151(O), 125A-135A(O), 139A-149A(O)",208,"SWKE0210"
"SWKB0250","Camberwell Grove 32 / Flats 1-6(C)",27,"SWKE0053"
"SWKB0251","Camberwell Grove 94 / Flats 1-8(C)",48,"SWKE0054"
"SWKB0252","Camberwell Road 2-24(E); Gateway 5-44(C); Walworth Road 376-390(E)",368,"SWKE0148"
"SWKB0253","Cameron House, Comber Grove 1-52(C)",299,"SWKE0084"
"SWKB0254","Camilla Road 2-24(E), 20A-24A(E); Southwark Park Road 232-246(E)",120,"SWKE0227"
"SWKB0255","Campbell Court, Lordship Lane 1-72(C)",432,"SWKE0220"
"SWKB0256","Candle Grove 5 / Flats 1-17(C)",94,"SWKE0215"
"SWKB0257","Canterbury Place 2-24(E)",64,"SWKE0253"
"SWKB0258","Canute Gardens 1-51(C)",334,"SWKE0177"
"SWKB0259","Cardiff House, Peckham Park Road 1-75(C)",470,"SWKE0145"
"SWKB0260","Carisbrooke Gardens 1-24(C)",148,"SWKE0349"
"SWKB0261","Carisbrooke Gardens 25-46(C)",157,"SWKE0349"
"SWKB0262","Carisbrooke Gardens 47-74(C)",200,"SWKE0349"
"SWKB0263","Carlton Grove 6-76(E)",219,"SWKE0057"
"SWKB0264","Carlton Grove 78-148(E)",217,"SWKE0057"
"SWKB0265","Carlyle House, Bethwin Road 1-16(C)",96,"SWKE0352"
"SWKB0266","Carmichael House, Bowen Drive 1-20(C)",115,"SWKE0201"
