BD CODE,BD NAME,BD RATEABLE VALUE
BD000326,LYNCOTT CRESCENT,182
BD000327,VICTORIA RISE 5-17,2017
BD000328,VICTORIA RISE 19-35,2007
BD000329,VICTORIA RISE 37-53 ODD,2007
BD000330,VICTORIA RISE 55-89 ODD,4014
BD000331,VICTORIA RISE 91-107 ODD,2007
BD000332,VICTORIA RISE 109 -119 ODD,1632
BD000333,VICTORIA RISE 121 -131 ODD,1732
BD000334,VICTORIA RISE 133 -143 ODD,1632
BD000335,VICTORIA RISE 145 -155 ODD,1732
BD000336,VICTORIA RISE 157-167 ODD,1632
BD000337,VICTORIA RISE 169-179 ODD,1720
BD000338,VICTORIA RISE 6-16,1632
BD000339,VICTORIA RISE 18-28 EVEN,1394
BD000340,VICTORIA RISE 30-40,1632
BD000341,VICTORIA RISE 54-64 EVEN,1632
BD000342,VICTORIA RISE 66-76 EVEN,1692
BD000343,VICTORIA RISE 68 70 74 76 78&84,1632
BD000344,VICTORIA RISE 78-88 EVEN (EXC NO 80),1334
BD000345,RALEIGH HOUSE 1-17,4339
BD000346,NAYLOR HOUSE 1-22,5616
BD000347,HARCOURT HOUSE 1 - 22,5513
BD000348,SEYMOUR HOUSE 1-18,4645
BD000349,METCALFE HOUSE 1-18,4651
BD000350,SPENCER HOUSE 1-18,4512
BD000351,SHIPLEY HOUSE 1-22,5613
BD000352,LYDELL HOUSE 1-18,4520
BD000353,LUCAS HOUSE 1-22,5508
BD000354,MACAULAY SQUARE 1-25 CONS,6085
BD000355,MACAULAY SQUARE 26-45,4805
BD000356,MACAULAY SQUARE 46-65 CONS,5210
BD000357,MACAULAY SQUARE 66-85 CONS,4805
BD000358,MACAULAY ROAD 82-100 EVEN,2980
BD0003588,BURTON ROAD,399
BD000359,GAUDEN ROAD 42-72,4853
BD0003590,"BRIXTON ROAD 113 (A,C-D)",668
BD000360,GAUDEN ROAD 74-92,3080
BD000361,ROMAYNE HOUSE 1-24,5844
BD000362,LYNDE HOUSE 1-26,6111
BD000363,FENWICK PLACE 24-66,3454
BD000364,FENWICK PLACE 1-55 ODD,7952
BD000365,FENWICK PLACE 57-79 ODD,3216
BD000366,FENWICK PLACE 81-101 ODD EXCL 89,2440
BD000367,FENWICK PLACE 89 103-147,6288
BD000368,COTTAGE GROVE 22-44 EVEN,2424
BD000369,COTTAGE GROVE,258
BD000370,COTTAGE GROVE 21-31 35-51 ODD 175 201,4228
BD000371,COTTAGE GROVE 33 53-113 O,8416
BD000372,COTTAGE GROVE 115-149,4618
BD000373,COTTAGE GROVE 151-173 177-199 ODD,6240
BD000374,WILLINGTON ROAD 26-124 EV,14200
BD000375,HOLCOMBE HOUSE 1-44,11956
BD000376,LOPEZ HOUSE 1-42,8997
BD000377,WILLETT HOUSE 1-20,4220
BD000378,ORMEROD HOUSE 1-37,9771
BD000379,CEDARS ROAD 1-11 ODD,1732
BD000380,CEDARS ROAD 13-23 ODD,1632
BD000381,CEDARS ROAD 25-35,1732
BD000382,CEDARS ROAD 37-47,1632
BD000383,CEDARS ROAD 49-59,1732
BD000384,CEDARS ROAD 61-71,1632
BD000385,CEDARS ROAD 62-72 EVEN,1632
BD000386,CEDARS ROAD 85-95,1732
BD000387,CEDARS ROAD 97-107,1632
BD000388,CEDARS ROAD 121-129,1732
BD000389,CEDARS ROAD 131-141,1632
BD000390,CEDARS ROAD 143-153,1732
BD000391,CEDARS ROAD 155-165 ODD,1632
BD000392,CEDARS ROAD 167-177 ODD,1752
BD000393,CEDARS ROAD 179-189 ODD,1632
BD000394,CEDARS ROAD 73-77A ODD,1732
BD000395,CEDARS ROAD 81 81A 83 83A 85&91,1732
BD000396,CEDARS ROAD 2-12 EVEN,1692
BD000397,CEDARS ROAD 14-24 EVEN,1632
BD000398,CEDARS ROAD 18 - 24,1068
BD000399,CEDARS ROAD 26-36 EVEN,1692
BD000400,CEDARS ROAD 38-48,1632
BD000401,CEDARS ROAD 50-60,1692
BD000402,CEDARS ROAD 74-84 EVEN,1692
BD000403,CEDARS ROAD 86-96 EVEN,1632
BD000404,CEDARS ROAD 98-108,1692
BD000405,CEDARS ROAD 110-120,1632
BD000406,CEDARS ROAD 122-132,1692
BD000407,CEDARS ROAD 134-144,1632
BD000408,CEDARS ROAD 146-156,1692
BD000409,CEDARS ROAD 158-168,1632
BD000410,CEDARS ROAD 170-180 EVEN,1692
BD000411,CEDARS ROAD 194-204,1632
BD000412,CEDARS ROAD 206-216 EVEN,1692
BD000413,CEDARS ROAD 230-240,1692
BD000414,CEDARS ROAD 242-252,1632
BD000415,CEDARS ROAD 254-264,1692
BD000416,CEDARS ROAD 266-276,1632
BD000417,CEDARS ROAD 278-288,1692
BD000418,CEDARS ROAD 290-300,1632
BD000419,THORPARCH ROAD 64-70,884
BD000420,CEDARS ROAD 75 75A 77 77A 78A 79,1632
BD000421,PORTLAND GROVE,245
BD000422,PORTLAND GROVE,227
BD000423,CRIMSWORTH ROAD 66-68,442
BD000424,CRIMSWORTH ROAD 70-72,422
BD000425,CRIMSWORTH ROAD 74-76,422
BD000426,GOLDSBOROUGH ROAD 19 & 19A,318
BD000427,VICTORIA RISE,2016
BD000428,LILFORD ROAD 108-118,1239
BD000430,ASHBY HOUSE 1-67,16070
BD000431,EDGEHILL HOUSE 1-62,14862
BD000432,HOPTON HOUSE 1-39,9412
BD000433,NEWARK HOUSE 1-52,12422
BD000434,LILFORD HOUSE 1-70,16823
BD000435,BRIGSTOCK HOUSE 1-75,19028
BD000436,ANNESLEY HOUSE 1-40 CONS,10348
BD000437,ALVANLEY HOUSE 1-20 CONS,5480
BD000438,BRICKWORTH HOUSE 1-20,5480
BD000439,BROMSTONE HOUSE 1-8,2080
BD000440,CHARDIN HOUSE 1-15,3971
BD000441,CLIFFSEND HOUSE 1-45,10655
BD000442,DOWNBARTON HOUSE 1-8,2080
BD000443, DURLOCK HOUSE 1-8 CONS,2080
