Estate,RV,CCTV,Cleaning,Communal Electricity,Repairs and Maintenance,Grounds Maintenance,Tree Maintenance,,,Only Estates with Homeowners
Wyvil Estate,70849,0,50909.83,10964.27,4314.77,28295.46,957.96,,,
Cotton Gardens Estate,72733,0,35262.02,19198.9,14638.36,5226.29,0,,,
Knights Walk Estate,8968,0,0,0,192.7,644.4,0,,,
Lambeth Towers Estate,8492,0,4801.68,808.52,107.06,294.83,0,,,
Penwith Manor Estate,61580,0,31832.48,21773.04,642.83,1446.74,6705.73,,,
Mawbey Brough Estate,89942,0,59776.46,35617.25,11187.48,7612.4,336.41,,,
Greenham Close Estate,12734,0,6303.44,1930.85,520.03,0,0,,,
Harleyford Court Estate,6465,0,2291.73,696.6,0,320.73,0,,,
Tanswell Estate,81033,3399.4,41070.21,3638.99,13074.33,4288.88,1294.37,,,
Frazier Street Estate,6658,0,193.33,713.07,0,948.35,0,,,
South Lambeth Estate,53118,0,80974.87,4349.17,997.75,2902.8,0,,,
Windmill House Estate,9316,0,2824.11,808.52,64.23,560.26,2018.45,,,
Ethelred Towers Estate,76586,0,0,12673.8,790.26,0,0,,,
Victoria Estate,15877,0,5202.57,3073.08,0,0,0,,,
Climsland House Estate,4616,0,697.57,231.61,0,0,0,,,
Saltoun Road Flats,3746,0,1005.82,725.78,68.1,570.85,0,,,
Charles Barry Estate,16282,0,4257.06,126.68,992.95,263.6,0,,,
Wiltshire Road Estate,9064,0,3351.63,377.15,204.27,74.8,0,,,
