Block,RV,Boiler Repairsand Maintenance,CCTV,Cleaning,Communal Electricity,Communal Electrical Maintenance,TV Aerial,Communal Water Quality,Communal Window Cleaning,Communal Ventilation Maintenance,Concierge,Disinfestation,Dry Riser,Door Entry System,Cleaning External,Grounds Maintenance External,External Tree Maintenance,Repairsand Maintenance External,Fire Ventilation Maintenance,Repairsand Maintenance,Lift Services & Repairs,Lightning Protection,,Only blocks containing homeowners
Gaskell Street 59-65,892,0,0,1159.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Gaskell Street 117-119!137-139,892,0,0,1159.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Gaskell Street 125-131,892,0,0,1159.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Heath Road 70-74,858,0,0,602.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.43,0,0,,
Heath Road 80-82,372,0,0,261.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,,
Heath Road 86-88,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.77,0,0,,
Heath Road 90-92,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Heath Road 98-100,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660.32,0,0,,
Jeffreys Road 67-85,2230,0,0,2897.59,0,0,535.6,0,0,0,0,0,0,0,0,0,0,0,0,3361.64,0,0,,
Moresby Walk 17-18,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,,
Heath Road 50 & 52,0,0,0,301.73,0,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,546.95,0,0,,
Charlotte Row 1 & 2 & 33 North Street,657,0,0,0,501.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.16,0,0,,
Charlotte Row 3 & 5,438,0,0,0,0,0,267.8,0,0,0,0,0,0,0,0,0,0,0,0,336.2,0,0,,
Charlotte Row 7-14 Cons,1787,0,0,0,0,0,98.24,0,0,0,0,0,0,0,0,0,0,0,0,546.99,0,0,,
Charlotte Row 11 & 13,473,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
North Street 35-41,876,0,0,946.36,173.42,0,267.8,0,0,0,0,0,0,0,0,36.73,0,0,0,283.31,0,0,,
Bobbin Close 1-15,3348,0,0,0,1080.86,0,535.6,0,0,0,0,105.74,0,0,0,0,0,0,0,2025.55,0,0,,
Bev Callender Close 8 & 9,380,0,0,266.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Daley Thompson Way 1-3,380,0,0,266.64,0,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,546.95,0,0,,
Heath Road 2,540,0,0,378.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Heath Road 10,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
