Property Ref,Bed Size,Block Reference,Estate Reference,Block Definition Code (Used for Service Charges)
602514,0,STR006438,EB113,BD000030
602515,0,STR006438,EB113,
604742,0,STR017149,ENCS2,BD000186
604777,0,STR006313,ENCS4,
615751,0,STR012435,EA081,
618981,0,STR004568,ENNL6,
618985,0,STR004855,ENNL6,
618989,0,STR017109,ENNL6,
620258,0,STR004317,ENNL6,
620263,0,STR017064,ENNL6,
620264,0,STR017064,ENNL6,
620268,0,STR017065,ENNL6,
620269,0,STR017065,ENNL6,BD001038
620273,0,STR017066,ENNL6,
620274,0,STR017066,ENNL6,
620278,0,STR017067,ENNL6,
620282,0,STR004319,ENNL6,
620290,0,STR017070,ENNL6,
620291,0,STR017070,ENNL6,
620294,0,STR017071,ENNL6,BD001042
620295,0,STR017071,ENNL6,
620353,0,STR017059,ENNL6,
620354,0,STR017059,ENNL6,
620355,0,STR017059,ENNL6,
620356,0,STR017059,ENNL6,
620363,0,STR017061,ENNL6,
620364,0,STR017061,ENNL6,
620365,0,STR017061,ENNL6,
621486,0,STR017061,ENNL6,BD001104
621606,0,STR004315,ENNL6,
621607,0,STR004315,ENNL6,
621609,0,STR017063,ENNL6,
621610,0,STR017063,ENNL6,
621612,0,STR004316,ENNL6,BD001120
621614,0,STR004316,ENNL6,
621616,0,STR004316,ENNL6,BD001120
621623,0,STR017068,ENNL6,
621626,0,STR017069,ENNL6,BD001121
664831,0,STR004314,ENNL6,BD001052
664832,0,STR004314,ENNL6,BD001052
664833,0,STR004314,ENNL6,BD001052
664834,0,STR017060,ENNL6,BD001053
656932,0,STR005086,ENNL4,BD002985
656934,0,STR005086,ENNL4,BD002985
656935,0,STR005086,ENNL4,BD002985
686511,0,STR005086,ENNL4,BD002985
654402,0,STR000193,EA117,BD002858
658744,0,STR000052,EA102,BD003070
658745,0,STR000052,EA102,
658746,0,STR000052,EA102,
658747,0,STR000052,EA102,
658748,0,STR000052,EA102,BD003070
658749,0,STR000052,EA102,BD003070
658750,0,STR000052,EA102,
658751,0,STR000052,EA102,
658752,0,STR000052,EA102,
658753,0,STR000052,EA102,
658755,0,STR000052,EA102,BD003070
661065,0,STR000438,EA118,
661067,0,STR000438,EA118,
661071,0,STR000438,EA118,
661075,0,STR000438,EA118,
661079,0,STR000438,EA118,BD003177
661083,0,STR000438,EA118,
661087,0,STR000438,EA118,
661090,0,STR000438,EA118,
661093,0,STR000438,EA118,
661096,0,STR000438,EA118,BD003177
661099,0,STR000438,EA118,
661102,0,STR000438,EA118,
661105,0,STR000438,EA118,BD003177
661108,0,STR000438,EA118,
661111,0,STR000438,EA118,
661114,0,STR000438,EA118,
661117,0,STR000128,EA118,BD003178
661119,0,STR000128,EA118,
661122,0,STR000128,EA118,
661125,0,STR000128,EA118,
661128,0,STR000128,EA118,
661131,0,STR000128,EA118,
664767,0,STR000128,EA118,BD003178
664835,0,STR000128,EA118,BD003178
660699,0,STR000245,EA043,BD003139
664789,0,STR000245,EA043,BD003139
608954,0,STR006078,EA044,BD000374
660097,0,STR000832,EA128,BD003126
660104,0,STR000832,EA128,BD003126
660105,0,STR000832,EA128,BD003126
660107,0,STR000832,EA128,BD003126
660108,0,STR000832,EA128,BD003126
660109,0,STR000832,EA128,BD003126
660110,0,STR000832,EA128,BD003126
660114,0,STR000832,EA128,BD003126
660115,0,STR000832,EA128,BD003126
660116,0,STR000832,EA128,BD003126
664807,0,STR000832,EA128,BD003126
652637,0,STR000138,EA026,BD002807
77592,0,STR000627,EA009,
664469,0,STR002392,ENCS7,BD002449
644373,0,STR006279,ENBR1,
640668,0,STR000691,EA012,BD002244
640670,0,STR000691,EA012,BD002244
640672,0,STR000691,EA012,
640674,0,STR000691,EA012,
664458,0,STR000737,EA123,BD000321
649413,0,STR003135,EA121,BD002791
649414,0,STR003135,EA121,BD002791
649416,0,STR003135,EA121,BD002791
649427,0,STR003136,EA121,BD002791
649432,0,STR003136,EA121,BD002791
617938,0,STR004295,ENBR7,
617939,0,STR004295,ENBR7,
664448,0,STR000318,EB003,BD002243
664449,0,STR000318,EB003,BD002243
686319,0,STR017869,ENBR7,BD003401
664450,0,STR013367,EA004,BD002619
664451,0,STR013368,EA004,BD002619
664452,0,STR013369,EA004,BD002619
644505,0,STR011648,ENBR1,BD002466
641454,0,STR000221,EA032,
641462,0,STR000221,EA032,BD002284
620802,0,STR000445,EA115,BD001079
641658,0,STR000465,EA101,
641506,0,STR000544,EA032,
664530,0,STR000544,EA032,BD002285
664531,0,STR015286,EB009,BD000054
664532,0,STR015287,EB009,BD000054
620474,0,STR000689,EA115,BD001068
620485,0,STR000689,EA115,
620496,0,STR000689,EA115,
664534,0,STR003932,EA020,BD003270
647894,0,STR000869,EA084,
647896,0,STR000869,EA084,
641565,0,STR000647,EA032,
604479,0,STR018066,EB011,BD000143
604481,0,STR018067,EB011,BD000143
604494,0,STR011173,EB011,BD000145
